,true.beta1,BayesB1bias,BayesN1bias,Freq1bias,BayesB1cover,BayesN1cover,Freq1cover,BayesB1mse,BayesN1mse,Freq1mse,BayesB1power,BayesN1power,Freq1power,BayesB1se2mean,BayesN1se2mean,Freq1se2mean,mcse.biasB1,mcse.biasN1,mcse.biasF1,RhatB1,RhatN1,true.beta2,BayesB2bias,BayesN2bias,Freq2bias,BayesB2cover,BayesN2cover,Freq2cover,BayesB2mse,BayesN2mse,Freq2mse,BayesB2power,BayesN2power,Freq2power,BayesB2se2mean,BayesN2se2mean,Freq2se2mean,mcse.biasB2,mcse.biasN2,mcse.biasF2,RhatB2,RhatN2,true.tau,tau.hatB,tau.hatN,tau.hatF,tau.hatF.1
,,,,BIAS,BayesB1bias,BayesN1bias,Freq1bias,BayesB2bias,BayesN2bias,Freq2bias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-5.44E-05,0.01657554,0.005791945,-0.017316266,-0.063979134,-0.007734759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.000152231,0.016650739,0.004983284,-0.013760346,-0.062210847,-0.006452115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.000884294,0.026792494,0.005277027,-0.042071445,-0.089046479,-0.007069982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.001505972,-0.003021548,0.005232024,0.168082813,-0.004439693,-0.006717512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.003677334,-0.017527162,0.004872749,0.25233482,0.032684008,-0.006533492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.000375669,0.016033982,0.006011534,-0.023303432,-0.064754803,-0.007481066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.000498897,0.018703266,0.005779724,-0.012891999,-0.066769341,-0.007181071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.001385336,0.025006884,0.005537776,-0.046598674,-0.083861902,-0.007123888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.002170427,-0.009054889,0.004645964,0.164181838,0.013613874,-0.005114648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.003561455,-0.018907414,0.004832555,0.261894774,0.036869595,-0.00598092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
