"","true.beta1","BayesB1bias","BayesN1bias","Freq1bias","BayesB1cover","BayesN1cover","Freq1cover","BayesB1mse","BayesN1mse","Freq1mse","BayesB1power","BayesN1power","Freq1power","BayesB1se2mean","BayesN1se2mean","Freq1se2mean","mcse.biasB1","mcse.biasN1","mcse.biasF1","RhatB1","RhatN1","true.beta2","BayesB2bias","BayesN2bias","Freq2bias","BayesB2cover","BayesN2cover","Freq2cover","BayesB2mse","BayesN2mse","Freq2mse","BayesB2power","BayesN2power","Freq2power","BayesB2se2mean","BayesN2se2mean","Freq2se2mean","mcse.biasB2","mcse.biasN2","mcse.biasF2","RhatB2","RhatN2","true.tau","BayesBtaubias","BayesNtaubias","BayesBtaucover","BayesNtaucover","BayesBtaumse","BayesNtaumse","BayesBtaupower","BayesNtaupower","BayesBtause2mean","BayesNtause2mean","mcse.biastauB","mcse.biastauN","RhatBtau","RhatNtau"
"1",0,0.000240601240431364,0.00159991544900827,0.00502338086605283,0.962,1,0.954,0.000183388666234409,0.000302873188885269,0.000212879122332097,0.038,0,0.046,0.000195177693488691,0.00995806835252287,0.000213743555795734,0.000428385680863729,0.000548282840799171,0.000433396584673065,1.00772929380922,1.01229137249511,0,-0.00100656835918575,-0.0104992067328526,-0.00596080564034765,0.968,1,0.968,0.000768983994823037,0.00198923305089897,0.00082412624199036,0.032,0,0.032,0.000882391384965537,0.0678461338196801,0.000949110202983693,0.000876777939113342,0.00137145200042483,0.000888473084865766,1.00931211169781,1.01546034054534,0.001,0.0127800282595483,0.0360980027297469,0.938,1,0.000188104680700784,0.00130764234231096,0.087,0,7.81324578516879e-05,0.000823819927272962,0.000157481296491603,6.7683988922754e-05,1.01964919279145,1.00664515099473
"2",0.1,0.000191071564033765,0.00565018263697675,0.00374437826419472,0.965,1,0.956,0.000138283001834824,0.000302924408715017,0.000158786385287605,1,0,1,0.000155625379152078,0.0116074705460659,0.000171265087372545,0.000372001180603789,0.000520836938014023,0.000380671679574224,1.00905701389188,1.01185337491293,0.03,0.000589310100618461,-0.0136009701845253,-0.00423259302459918,0.957,1,0.96,0.00056699558883219,0.00203290725988597,0.00061031495564547,0.292,0,0.208,0.000599031392479051,0.0814452161344443,0.000649104069207017,0.000753137117632277,0.00136006273405538,0.000770060455444001,1.0101908227188,1.01500982066412,0.001,0.0104109409711877,0.0393320871643722,0.943,1,0.000126176703826123,0.0015518401212529,0.081,0,5.51801229346692e-05,0.000975615208856084,0.000133442192500376,6.95116711031289e-05,1.01988019369505,1.00673134517556
"3",0.2,0.00100505758585495,0.000428990764538475,0.00395519377044659,0.961,1,0.953,0.000128951725636592,0.000275386856241446,0.000152235591417507,1,0.331,1,0.000144402421759501,0.0119434850763179,0.000158647012297414,0.000357868208339673,0.000524860268516158,0.000369768525456326,1.00764765307354,1.01226182373628,-0.2,-0.00114767804567753,0.00382307175955454,-0.00444660204177953,0.952,1,0.954,0.000514694722463988,0.00181998274767944,0.000565018250308173,1,0,1,0.000583632136895173,0.0856463943595131,0.000632915008089307,0.000716862224570715,0.00134431173618502,0.000738777214295742,1.00908247251638,1.01542241911002,0.001,0.0108688609295796,0.0392899772497847,0.933,1,0.000136950556422627,0.00155067430880562,0.085,0,5.8036894092513e-05,0.000975892144553134,0.000137248882588736,8.3540262703196e-05,1.02002684049905,1.00633988493104
"4",0,0.00105915005184082,0.00236388076663237,0.0058113666808879,0.958,1,0.938,0.000193556421368796,0.000344276749471047,0.000229034016883357,0.042,0,0.062,0.000196988692162627,0.0100732048505138,0.000215091734337702,0.000438893210002465,0.000582260976742586,0.000442105747163841,1.00737416600295,1.01215734938822,0,-0.000881762864450823,-0.011871567184451,-0.00598766209995451,0.952,1,0.954,0.000772396908182845,0.00207646348757596,0.000822089439777361,0.048,0,0.046,0.000819906073988284,0.0625818482998938,0.000884841068109499,0.0008788582332936,0.00139192918175029,0.00088714393799476,1.00870067126275,1.01515507991926,0.01,0.0047503295034606,0.0268556971212268,0.984,1,5.71782014224403e-05,0.000725705914598833,0.134,0,8.097728792736e-05,0.000813200475125945,0.000186137632544419,6.69472080106878e-05,1.0206643164188,1.00692617901211
"5",0.04,0.000971334129368901,0.00333231095362579,0.00508012004137029,0.968,1,0.958,0.000161941811548612,0.000333211267372941,0.00019614681071622,0.876,0,0.918,0.000179655380479731,0.0106089439928488,0.00019838165463296,0.000401446734995783,0.000567828671767962,0.000412928202938804,1.00736417743289,1.01226675909606,0,-0.000577859213574782,-0.0104255229783298,-0.00545398561861762,0.956,1,0.959,0.000728190197864111,0.00216763213833981,0.000789284942835055,0.044,0,0.041,0.00076982374816953,0.0736471617829988,0.000849362232975936,0.000853571825598088,0.00143561889461608,0.000871951422379686,1.0086293977151,1.01539806075497,0.01,0.0044141228802348,0.0284458233004212,0.977,1,5.41483839072264e-05,0.000813872117985388,0.166,0,7.39033860035338e-05,0.000885307662685838,0.000186275606849424,6.86437667477355e-05,1.02021655171983,1.00711748743449
"6",0.1,0.000338673199951832,0.00439900557874844,0.00381509255717954,0.957,1,0.952,0.000146885926359282,0.000323985561371171,0.000170518385653717,1,0,1,0.000156934232906472,0.0114622817944519,0.000173672240318788,0.000383299028133238,0.000552213048143423,0.000395119695798473,1.00651660666018,1.01247462836649,0.03,0.000491422357334038,-0.0107119879640404,-0.00416991310524156,0.959,1,0.96,0.000554480491246458,0.00221811364805178,0.000609793400754575,0.28,0,0.203,0.000613947895061093,0.0814295528617908,0.000665836192017894,0.000744844808736876,0.00145102461534751,0.000770063778964433,1.00755755887118,1.01567923352932,0.01,0.00367282886706749,0.0303165012642725,0.978,1,4.18149526008113e-05,0.000923807673158273,0.185,0,6.41159032506266e-05,0.000973455247701654,0.000168385374508582,6.8717875389407e-05,1.02182397309333,1.00661078469589
"7",0.2,0.00166008899598398,0.00178438683534921,0.00436304050208359,0.954,1,0.939,0.00014346395095312,0.000293733961810793,0.000167494324344073,1,0.333,1,0.000146999293171406,0.0121353307312394,0.000162250798990599,0.000375298420437544,0.000539296547549513,0.000385495536588922,1.00657044221326,1.01274950460389,-0.2,-0.00199863341217536,-0.00102140699075164,-0.00508012387537942,0.947,1,0.946,0.000516971105046779,0.00184139304617387,0.000573115706549496,1,0,1,0.000548406383948267,0.0797651831476679,0.000596770639667176,0.000716582207140329,0.00135727372548761,0.000740172887820244,1.00761945392771,1.01593473479379,0.01,0.00342067601912029,0.0300431593971104,0.987,1,3.64932603496494e-05,0.000908952672594038,0.146,0,6.40501868561498e-05,0.000961460355347478,0.000157534291425199,7.97973285737402e-05,1.02155727261155,1.00640223998201
