"","true.beta","BayesBbias","BayesNbias","Freqbias","BayesBcover","BayesNcover","Freqcover","BayesBmse","BayesNmse","Freqmse","BayesBpower","BayesNpower","Freqpower","BayesBse2mean","BayesNse2mean","Freqse2mean","mcse.biasB","mcse.biasN","mcse.biasF","RhatB","RhatN","true.tau","tau.hatB","tau.hatN","tau.hatF"
"nortau1",0.5,0.00628611290207212,0.00612097699887509,0.00277758677264708,0.98,1,0.98,0.00180483641088545,0.000453373499452778,0.000159593272641302,1,1,1,0.00228969787049483,0.0237775077391043,0.00018481251432289,0.00422273930369233,0.0020496541714508,0.00123859762815121,1.0242307554365,1.00182130291303,0.001,0.0379103727027809,0.130930853415241,0.0143124006371434
"nortau2",0.5,0.00405690210918972,0.0049958590668355,0.00253853348659845,0.93,1,0.93,0.00244756259333942,0.000599552510008053,0.000215063831985042,1,1,1,0.00232349166527306,0.0235672197369525,0.000193859478379198,0.00495546238617209,0.00240914482960737,0.00145164372080275,1.02528994205876,1.00181574329659,0.01,0.0398724084446605,0.130319619763702,0.017136747647428
"nortau3",0.5,0.00255404396407942,0.00377869316851489,0.000980261689853937,0.97,1,0.94,0.00244697536882678,0.000568475868087126,0.000240210404565454,1,1,1,0.00248306740166495,0.0239116849655429,0.000226420670746893,0.00496498062520387,0.002365999363938,0.00155456152376167,1.02670213559165,1.00153761246505,0.03,0.0386828040039056,0.131468228892582,0.0283793092537809
"nortau4",0.5,0.00115428711946976,0.002030845301282,0.000829940539516152,0.93,1,0.95,0.00244089969898575,0.000686865314764362,0.000325857889486328,1,1,1,0.00241757257039448,0.0241866960520394,0.000295658671926291,0.00496408039255543,0.00262609473493143,0.00181232895587835,1.0248947578716,1.00179147712547,0.05,0.0412919899822233,0.132273048672639,0.0457503192627323
"uniftau1",0.5,0.00423556558760825,0.0053280798075628,0.00256948545973974,0.97,1,0.95,0.00217457412235209,0.000423532333404731,0.000161934844334502,1,1,1,0.00244952722090235,0.0236878694159145,0.000181115393575882,0.00466735287866596,0.00199783695902296,0.00125260370770344,1.01439384561466,1.00176865854385,0.001,0.0486014411857156,0.130679669405907,0.0131912963051305
"uniftau2",0.5,0.0063606679614379,0.00540719074791338,0.00240880854661738,0.93,1,0.97,0.00240496870011304,0.0005175393237816,0.000173639425930269,1,1,1,0.00242842835438595,0.0236607704830667,0.000190694488441569,0.00488712036754183,0.00222088710094053,0.0013020460484495,1.01748873171412,1.00191082095057,0.01,0.0486322394832391,0.130509249067488,0.0160168308161583
"uniftau3",0.5,-0.00326025756695919,0.00141910071801198,0.00127138228680874,0.97,1,0.94,0.00184534424480205,0.000457046932203037,0.000215660306115904,1,1,1,0.00239339136712226,0.0238273396155847,0.00021362302530899,0.00430493605039274,0.00214389687052955,0.00147039434412654,1.01554514625555,1.00172729670828,0.03,0.0482855090159237,0.13088167847269,0.0242427382907894
"uniftau4",0.5,0.0102555904890298,0.00502417347311832,0.000679504285980441,0.93,1,0.96,0.00225967344501684,0.000593347658639568,0.00029019215707609,1,1,1,0.00236410395336219,0.0234519919942522,0.000294881611057703,0.00466503901132168,0.00239550365753182,0.00171072207272701,1.01516625272878,1.00169897701525,0.05,0.0494507160225346,0.130313106625389,0.0456633717996464
