"";"true.beta1";"BayesB1bias";"BayesN1bias";"Freq1bias";"BayesB1cover";"BayesN1cover";"Freq1cover";"BayesB1mse";"BayesN1mse";"Freq1mse";"BayesB1power";"BayesN1power";"Freq1power";"BayesB1se2mean";"BayesN1se2mean";"Freq1se2mean";"mcse.biasB1";"mcse.biasN1";"mcse.biasF1";"RhatB1";"RhatN1";"true.beta2";"BayesB2bias";"BayesN2bias";"Freq2bias";"BayesB2cover";"BayesN2cover";"Freq2cover";"BayesB2mse";"BayesN2mse";"Freq2mse";"BayesB2power";"BayesN2power";"Freq2power";"BayesB2se2mean";"BayesN2se2mean";"Freq2se2mean";"mcse.biasB2";"mcse.biasN2";"mcse.biasF2";"RhatB2";"RhatN2";"true.tau";"tau.hatB";"tau.hatN";"tau.hatF";"tau.hatF.1"
"1";0;0,00113520932799166;0,00342173948118583;0,00494222205078297;0,96;1;0,92;0,000312826648454341;0,000322962769875251;0,000194319166449696;0,04;0;0,08;0,000367694300612484;0,00995511842165618;0,000201928548286839;0,00177393572656385;0,00177312845933807;0,00130999887289045;1,01058960855509;1,01342342259572;0;-0,00978961034597416;-0,0160208647556065;-0,00623883063249295;0,98;1;0,95;0,00480438736316513;0,0023524371069529;0,000800568616531921;0,02;0;0,05;0,0064097847981316;0,067311054040378;0,000846286292736442;0,00689645707052888;0,00460101986875535;0,00277369608800168;1,0187067749607;1,01688999038456;0,001;0,0238833518216534;0,0369615620179772;0,0172264486853711;0,0281877297363002
"2";0,04;-0,000627697114486983;0,00433322880805331;0,00470479728224168;0,95;1;0,93;0,000318544429631437;0,000375990635397018;0,000210858692361676;0,58;0;0,92;0,000359399289099679;0,0105514931948952;0,000186792238643563;0,00179266300968755;0,00189953147730526;0,00138068777654833;1,00957163357906;1,01154660377977;0;0,00638287991645236;-0,0106085406461058;-0,00269351139467262;0,97;1;0,95;0,00426108932895568;0,0024156197411781;0,000792495867778198;0,03;0;0,05;0,00607109317619884;0,0732766061072109;0,000794182752032299;0,00652914845324592;0,00482321679670952;0,00281633199400465;1,01722195982429;1,01445486649416;0,001;0,0228961605859131;0,0383867128248367;0,0174804975730086;0,0316393824395068
"3";0,1;0,00350373574267862;0,00663472438850601;0,0057040995174869;0,94;1;0,89;0,000359630531122316;0,0003837704858057;0,000237868272904821;1;0;1;0,000337822164140633;0,0116413670711943;0,000176137043510725;0,00187313372970849;0,0018525192186581;0,00144015824607283;1,01068316898859;1,01260826064865;0,03;0,000270417190828531;-0,0119856434659319;-0,00772821197372631;1;1;0,94;0,00406924680917692;0,00227531288681712;0,000731186146063193;0,02;0;0,17;0,00620634332047368;0,0821874805695232;0,000653320430084783;0,00641114377330741;0,00464024689947939;0,00260431050172932;1,01787249916151;1,01596386813009;0,001;0,0237907248617142;0,0400849454991998;0,0222560816469434;0,0353097650147939
"4";0,2;0,000457783729615108;0,000291923928824011;0,004357152150303;0,99;1;0,96;0,000252691857266874;0,000289878436550454;0,00013969557657194;1;0,26;1;0,000303806754365604;0,0124218219728048;0,000157182774168968;0,00159697406835165;0,00171090742350968;0,00110421964634956;1,01153969174627;1,01414963305659;-0,2;0,00509896525302464;0,00481990409970431;-0,00295484998639891;0,98;1;0,97;0,00370990576594811;0,00200306561509152;0,000466619089759324;0,74;0;1;0,00597094996982859;0,0841650817589663;0,000592316659266463;0,006100096305993;0,00447194864036161;0,00215061173189999;1,02072245611402;1,01711436007681;0,001;0,022165033841249;0,0400444374451797;0,0183864843141045;0,0318939608888619
"5";0;-0,000417423655414731;0,000714532841507807;0,00543891043459364;0,97;1;0,97;0,000294509264467814;0,000319082853612205;0,000213584267473469;0,03;0;0,03;0,00039557561566364;0,00989823054952905;0,000217103202384989;0,00172426245968997;0,0017938511599761;0,00136330896013605;1,00814269262355;1,01160623279241;0;0,0057907017044726;-0,00966662444407102;-0,00681519304894808;0,97;1;0,95;0,0044306587143802;0,00217280249201999;0,000878536300799164;0,03;0;0,05;0,00689485896579107;0,0614027699011517;0,000872764198987246;0,00666448940821594;0,00458297118555739;0,00289912812477927;1,01400484596591;1,01470450732416;0,01;0,0272991393731381;0,0367849872108067;0,0235259134280115;0,0426117581766129
"6";0,04;0,0022778650821523;0,00357957807513362;0,0049896887697376;0,93;1;0,93;0,000393932509275096;0,000400256576458366;0,000256887153748394;0,66;0;0,91;0,000365091882608831;0,010535433806405;0,00020062181063171;0,00198159164662292;0,001978273906494;0,00153079552741805;1,00857771177295;1,01258210438348;0;-0,00843878410675253;-0,0118754005695275;-0,00599530505480235;0,97;1;0,95;0,0053447759346821;0,00252991439036676;0,000816686963288687;0,03;0;0,05;0,00667502703483377;0,0762574337769429;0,000869493539140992;0,00729851434825846;0,00491224942988591;0,00280825493207449;1,01590122921712;1,01623045801688;0,01;0,0255595042311744;0,0386264216187719;0,0232719196905544;0,0436890646791768
"7";0,1;-0,0049440301500218;0,000175387129943538;0,00101064516333764;0,97;1;0,95;0,000298356864643505;0,000265055366575642;0,000169588232935925;1;0;1;0,00033929267755785;0,0117704743216133;0,000178099243258241;0,00166337077300179;0,00163615898418158;0,00130487365110611;1,01173167710344;1,01122182156699;0,03;0,0148332128062146;-0,00455663332018295;-0,00153654131932202;0,96;1;0,96;0,00565641347000962;0,00180532478799273;0,000710040635508072;0,08;0;0,27;0,00630535557372853;0,0810764374845412;0,000689114287194965;0,00741033217255664;0,00424568929428632;0,00267362666773148;1,02131554214958;1,01360727092417;0,01;0,024793494659939;0,0406576256018915;0,0228029480913191;0,0415325520742679
"8";0,2;0,000297468634279933;-0,000395114315667376;0,00225746177488666;0,94;1;0,97;0,000299050032191232;0,000275563451065552;0,000134052396879583;1;0,3;1;0,000300796233668165;0,0119351704036948;0,000160635929711953;0,00173776108307413;0,00166790056065504;0,00114131000053372;1,00878294404684;1,01083297071124;-0,2;-0,0019717211262173;0,00472741359369555;0,000282359958251471;0,99;1;0,96;0,00364299251071548;0,00197886661788666;0,000538025865329083;0,83;0;1;0,00495829921886576;0,0825159436218919;0,000626259995579304;0,00606288995539848;0,00444553819968478;0,00233105113105364;1,01530385043722;1,01337238191146;0,01;0,0219464129859804;0,0400001520602173;0,0213638491906056;0,0392066087549867
