"","true.beta","BayesBbias","BayesNbias","Freqbias","BayesBcover","BayesNcover","Freqcover","BayesBmse","BayesNmse","Freqmse","BayesBpower","BayesNpower","Freqpower","BayesBse2mean","BayesNse2mean","Freqse2mean","mcse.biasB","mcse.biasN","mcse.biasF","RhatB","RhatN","true.tau","tau.hatB","tau.hatN","tau.hatF"
"nortau1",0.5,0.0031788345170146,0.00727946247022153,-0.000352730936574584,0.96,1,0.93,0.000368855558501967,0.000192600110716146,9.46324667536155e-05,1,1,1,0.000497928709901332,0.0048838509361091,8.10652871192415e-05,0.00190361317694229,0.00118751730178053,0.000977050021154686,1.00171925565551,1.00218420893834,0.001,0.0400277907006421,0.0608991582226834,0.00775425625865512
"nortau2",0.5,0.0026204495956215,0.00694200227545722,0.0012413268103464,0.97,1,0.96,0.000337423492090004,0.000157296549491347,7.88687760644907e-05,1,1,1,0.000505620943398786,0.00496145371718706,8.44912449595631e-05,0.00182728129453616,0.00104979629529018,0.000883792812540954,1.0020239212712,1.00198248981604,0.01,0.0400674355489242,0.061657918707047,0.00927803616994057
"nortau3",0.5,0.00662865161020748,0.0089435511489593,0.000981608275763958,0.99,1,0.95,0.000423986766238548,0.000190578509529386,5.95952687549534e-05,1,1,1,0.000524079496526033,0.00483579377350073,8.8756215877531e-05,0.00195930245284068,0.00105692235877482,0.000769571007008011,1.00161530394834,1.0019009907094,0.03,0.049729406700924,0.0607902170232249,0.0116905150122831
"nortau4",0.5,0.000491198994268676,0.00562924521142481,0.000144650350771575,0.96,1,0.98,0.000427609023071717,0.000163142656415061,6.10809825590471e-05,1,1,1,0.000524797466445494,0.00495641603300261,8.55758274583217e-05,0.0020777020781267,0.00115231104967327,0.000785345956290156,1.00158893967162,1.00190733264869,0.05,0.0497303139581963,0.0616048865805308,0.0106264745435753
"uniftau1",0.5,-0.00024654899755428,0.00564834969511084,-0.000318445098132281,0.99,1,1,0.000324752242457006,0.000158949872243021,5.98407025031808e-05,1,1,1,0.000524444049660513,0.00502386586564248,8.41250396559407e-05,0.00181099742607788,0.00113282527812332,0.000776805782980068,1.00156418791577,1.0020120524607,0.001,0.0497475134680078,0.0619290945677463,0.00958367786481299
"uniftau2",0.5,0.00238154412545386,0.00713938666872638,-0.000340430892198524,0.99,1,0.94,0.000382701034921002,0.000186603749069482,8.34874065129895e-05,1,1,1,0.000524362228147388,0.00488060483568922,8.20665929895957e-05,0.00195150623645025,0.00117048253480424,0.000917679954116982,1.00154969254908,1.00198617405987,0.01,0.0497269150961196,0.0608355028215147,0.00846252970402366
"uniftau3",0.5,0.00437146273292916,0.00930102530547089,0.00192857889999237,0.98,1,0.92,0.000486015049805429,0.000248414905474217,8.41089291159835e-05,1,1,1,0.000550425005952213,0.00494332421677056,8.32013045816005e-05,0.00217168501208568,0.00127883246050153,0.000901118903478862,1.00181910244929,1.00217446586119,0.03,0.0497286133747477,0.0616080214579052,0.00882843116880877
"uniftau4",0.5,0.000450499687092893,0.00765107238204207,0.000536352569858605,0.95,1,0.95,0.000435976174787831,0.000207960766505062,8.40605303414795e-05,1,1,1,0.000519128789088287,0.00488525091548689,8.44799080499593e-05,0.00209803473413911,0.00122854047391966,0.000919886116481716,1.00148135225938,1.00207354559906,0.05,0.0496906418722664,0.0610082356859012,0.0101219106240864
