"","true.beta1","BayesB1bias","BayesN1bias","Freq1bias","BayesB1cover","BayesN1cover","Freq1cover","BayesB1mse","BayesN1mse","Freq1mse","BayesB1power","BayesN1power","Freq1power","BayesB1se2mean","BayesN1se2mean","Freq1se2mean","mcse.biasB1","mcse.biasN1","mcse.biasF1","RhatB1","RhatN1","true.beta2","BayesB2bias","BayesN2bias","Freq2bias","BayesB2cover","BayesN2cover","Freq2cover","BayesB2mse","BayesN2mse","Freq2mse","BayesB2power","BayesN2power","Freq2power","BayesB2se2mean","BayesN2se2mean","Freq2se2mean","mcse.biasB2","mcse.biasN2","mcse.biasF2","RhatB2","RhatN2","true.tau","BayesBtaubias","BayesNtaubias","BayesBtaucover","BayesNtaucover","BayesBtaumse","BayesNtaumse","BayesBtaupower","BayesNtaupower","BayesBtause2mean","BayesNtause2mean","mcse.biastauB","mcse.biastauN","RhatBtau","RhatNtau"
"1",0,-2.30121591919605e-05,9.53933802134843e-05,-5.00431471114058e-06,0.952,0.904,0.95,1.84466257828132e-05,2.94015796421499e-05,2.9284699005528e-05,0.048,0.096,0.05,1.84708135566801e-05,2.18318563969756e-05,3.01499100612089e-05,0.000135884365488185,0.000171528136603906,0.000171213282049941,1.00778572787229,1.00214239014604,0,-0.000316602051444974,-0.000419962900941959,6.57455874738871e-05,0.957,0.825,0.914,8.02635690768105e-05,0.000230056711734256,0.000213250531025287,0.043,0.175,0.086,8.32676630759112e-05,0.000101034870007848,0.00017322075584951,0.000283272970460694,0.000479698294086437,0.000462016956627379,1.00937823864945,1.00258059720557,0.001,0.00317644180168268,0.00859910154702452,0.969,0.369,1.23708617936082e-05,8.73837697430104e-05,0.08,0.716,7.19065201201705e-06,1.25831132847399e-05,4.77845439108491e-05,0.000115985667226485,1.0202469039727,1.01630660923832
"2",0.04,6.31936573400126e-05,-0.00104322571524807,-0.000962757029962359,0.952,0.908,0.939,2.72425219267483e-05,4.72868324301084e-05,4.61225087736415e-05,1,1,1,2.96100979712523e-05,3.42465360269114e-05,4.42840214056533e-05,0.000165123572765075,0.0002150459422878,0.000212698962205797,1.00903621733136,1.00264892535053,0,-0.000460177544764123,0.000914568690900965,0.00113252832139249,0.957,0.809,0.922,0.000112839565987522,0.00032379626313669,0.000297612683579838,0.043,0.191,0.078,0.00011656983133488,0.000144323797174971,0.000243995288823551,0.000335768585722332,0.000568579906747214,0.0005446344552734,1.01038700202155,1.00313320928232,0.001,0.00400994651508248,0.00955606325208598,0.966,0.468,1.94078908851583e-05,0.000111924228658801,0.078,0.622,1.06106466576733e-05,1.7870343812766e-05,5.77195927109577e-05,0.000143619324226317,1.02045938992191,1.01707126916662
"3",0.1,0.000503681312190947,-0.0046956424452718,-0.00401958429631846,0.932,0.853,0.9,7.48586227899646e-05,0.000144951757079541,0.000135827224985888,1,1,1,6.90882189571843e-05,8.29042940980858e-05,0.000104582024749268,0.00027327569876088,0.000350750231404818,0.000346106857816637,1.00858546881861,1.00256594763661,0.03,-0.00113061789426311,0.00408173451354324,0.00405977335033375,0.953,0.789,0.907,0.00023194392583241,0.000784116862473893,0.00075086576945166,0.544,0.544,0.402,0.000223059310616983,0.000298741265932134,0.000550703467962021,0.000480516935742246,0.00087648418717351,0.00085739088455879,1.00957675614344,1.00302523794432,0.001,0.0063091052249472,0.0158284061660468,0.963,0.372,4.60662516136839e-05,0.000304566353820452,0.071,0.687,2.24940827469797e-05,3.86420810131101e-05,7.91688738382237e-05,0.000232555356973689,1.01777164168161,1.01640065738962
"4",0.2,-0.00179472502901137,-0.00601448265953517,-0.00487939120041924,0.913,0.79,0.857,8.81776761594011e-05,0.00013091456225076,0.000115021097598812,1,1,1,2.94078654976005e-05,4.13085314193626e-05,5.35512342617186e-05,0.000291619066436937,0.000307953561409665,0.000302165423328247,1.00744068929691,1.00182364122936,-0.2,0.00154345341005948,0.0077219359020294,0.00649076571167283,0.911,0.708,0.872,0.000160015687414958,0.000606637125909949,0.000514459112541885,1,0.998,1,0.000110474649935283,0.000179109452607119,0.000386196786505016,0.000397229442786094,0.000739970531996459,0.000687605900856697,1.00859134025342,1.00213574110431,0.001,0.00513208553713722,0.015377466087688,0.919,0.212,5.63355811467272e-05,0.000295733522196663,0.129,0.828,1.21905747688564e-05,2.66372993619454e-05,0.000173283889882259,0.00024357008294118,1.01897948853983,1.01402433782088
"5",0,0.000556670176302404,0.000178142633504125,0.000209704109356617,0.943,0.915,0.938,3.37718349567921e-05,4.80260067568953e-05,4.72901936923376e-05,0.057,0.085,0.062,3.38063939545508e-05,3.79511547184614e-05,4.63165792676544e-05,0.000183017618606319,0.000219185570403931,0.000217470713867975,1.00364260491549,1.00180524526753,0,-0.000410893521995017,-4.92017837731723e-05,9.80096993770045e-05,0.941,0.849,0.921,0.000145837118089683,0.000337333669384945,0.00033133182404127,0.059,0.151,0.079,0.000146490741929331,0.000165767852247386,0.000262269238442,0.000381856123038465,0.000581092864770258,0.000575893976363801,1.00430001450565,1.0021036820709,0.01,-0.000186812806863024,0.00406675418087752,0.967,0.836,1.23510194066117e-05,3.96675777378963e-05,0.616,0.834,1.64424379018847e-05,1.99786515684254e-05,0.000111033548221401,0.00015215860281503,1.02035872432826,1.01406194331302
"6",0.04,1.65367386436954e-05,-0.00166351955383816,-0.00152328797277825,0.948,0.904,0.927,4.65688733790775e-05,7.2511293209106e-05,7.12372061732313e-05,1,0.996,0.993,4.87999591546353e-05,5.47987364932473e-05,6.51748591543447e-05,0.000215905569938534,0.000264223030246829,0.000262651452900858,1.00491947853647,1.00212957343594,0,0.000441587092820457,0.00187351557268305,0.0021155365526986,0.955,0.838,0.909,0.000167652786805554,0.000464294523056,0.000445574426842265,0.045,0.162,0.091,0.00018727531459258,0.000220175238636537,0.000353884141430584,0.00040942082636093,0.000679150725658949,0.000664485118274947,1.00545666187266,1.00246104267511,0.01,-5.58157391486498e-05,0.0049400625693482,0.967,0.801,1.5153648100881e-05,5.69609016754522e-05,0.44,0.752,2.21638085607904e-05,2.76061525819352e-05,0.000123149090140962,0.000180524992062418,1.02023173966027,1.0153957721877
"7",0.1,0.00075307247912087,-0.0066954282332571,-0.00554602159748369,0.962,0.866,0.916,9.87579254274016e-05,0.000197815271853633,0.00018338184323571,1,1,1,0.000103715385583785,0.000119660304148798,0.00014763200079503,0.000313510919052204,0.000391330617610246,0.000390866043472562,1.00662831743701,1.00231654515859,0.03,-0.000228934776333847,0.00729350946831653,0.00636322612442796,0.964,0.807,0.909,0.000327624863174364,0.00103901066687674,0.000963906171308258,0.424,0.487,0.312,0.000345301398548709,0.000432333956026666,0.000778639792051308,0.000572625839789774,0.000993379176699923,0.000961425953707366,1.00737850202744,1.00266447034313,0.01,0.00147540987851631,0.010587109618517,0.991,0.683,2.16914969170961e-05,0.000179920207705135,0.267,0.707,4.02208812982849e-05,5.64340083076773e-05,0.000139764791003589,0.000260578623162929,1.02108078919281,1.01599968251576
"8",0.2,0.000394945328882819,-0.00592018997457878,-0.00441805525145419,0.96,0.815,0.896,4.47979654115238e-05,0.000129449982145159,0.000107682059878853,1,1,1,4.77668569539552e-05,6.28986916429787e-05,7.79265436940722e-05,0.000211392219036053,0.000307401738184244,0.000297070864900488,1.00422658404332,1.00156477305887,-0.2,4.43456289156627e-05,0.0094145093153489,0.00759172237698296,0.954,0.719,0.879,0.000171827131797318,0.000896203184585577,0.000803864497001406,1,0.999,0.995,0.000181462813708636,0.000261891855053566,0.000537616803736497,0.000414725406051931,0.000899098758487798,0.000864278442157271,1.00482048144632,1.00176987729643,0.01,0.000261672377809319,0.010655055454698,0.974,0.544,1.46822581599534e-05,0.000172393076503202,0.47,0.889,2.31435988058573e-05,3.67799084598547e-05,0.000120947981135635,0.000242738113101477,1.02213820620382,1.01015239764686
