"","true.beta1","BayesB1bias","BayesN1bias","Freq1bias","BayesB1cover","BayesN1cover","Freq1cover","BayesB1mse","BayesN1mse","Freq1mse","BayesB1power","BayesN1power","Freq1power","BayesB1se2mean","BayesN1se2mean","Freq1se2mean","mcse.biasB1","mcse.biasN1","mcse.biasF1","RhatB1","RhatN1","true.beta2","BayesB2bias","BayesN2bias","Freq2bias","BayesB2cover","BayesN2cover","Freq2cover","BayesB2mse","BayesN2mse","Freq2mse","BayesB2power","BayesN2power","Freq2power","BayesB2se2mean","BayesN2se2mean","Freq2se2mean","mcse.biasB2","mcse.biasN2","mcse.biasF2","RhatB2","RhatN2","true.tau","BayesBtaubias","BayesNtaubias","BayesBtaucover","BayesNtaucover","BayesBtaumse","BayesNtaumse","BayesBtaupower","BayesNtaupower","BayesBtause2mean","BayesNtause2mean","mcse.biastauB","mcse.biastauN","RhatBtau","RhatNtau"
"1",0,9.99246960099004e-05,0.00551431532632241,0.0048118942760835,0.954,0.937,0.95,0.000185115360426595,0.000215226241495127,0.000210526141017489,0.046,0.063,0.05,0.000192736332606174,0.00019343392124142,0.000209141170253473,0.000430454023268304,0.000430120415172962,0.000433081255501956,1.00824578622782,1.0051956649369,0,-0.000284758890828633,-0.00709068437737337,-0.00504390725893006,0.952,0.946,0.959,0.000802207484107273,0.00084575194280682,0.000845138960753363,0.048,0.054,0.041,0.000853239362258014,0.000852884208969416,0.000912683813233041,0.000896063237616171,0.000892339850211548,0.000905824750597747,1.01002083180072,1.00664142772625,0.001,0.0123546960398164,0.0129896993367619,0.938,0.914,0.00017731057001683,0.000196812623598289,0.078,0.109,7.46441051006456e-05,7.6572051731068e-05,0.000157152004546901,0.000167655728151464,1.02076415669862,1.0146956158341
"2",0.04,0.000188310895491962,0.00486792492079898,0.00433448530023441,0.964,0.95,0.959,0.000154777233001338,0.000181864575191516,0.000176938290280205,0.872,0.926,0.914,0.000178057792451967,0.000178370200387327,0.000192766088374838,0.000393569140910023,0.000397902259814324,0.000397880429650109,1.0087595448714,1.00549827043008,0,-0.00121125085939247,-0.00754908437061419,-0.00612477188904984,0.956,0.945,0.952,0.000673741166299259,0.000746416940818501,0.000733532911041333,0.044,0.055,0.048,0.000742728147538345,0.000744225087138492,0.000794021893401186,0.000820333459417279,0.000830733642251365,0.000834695631440337,1.010189499751,1.0069744207307,0.001,0.0118352150142052,0.0125766425652778,0.934,0.906,0.000162870518246854,0.000185771142149915,0.082,0.116,6.74766407107359e-05,6.94869614496142e-05,0.000151066292862517,0.000166213208758885,1.02153004087988,1.01495202670977
"3",0.1,0.000422656419492274,0.00452491948003394,0.0040473220880192,0.944,0.921,0.936,0.000158817950174012,0.000181074284441402,0.000179204090612479,1,1,1,0.000152861372273991,0.000154337306286781,0.000169116323508026,0.000398494805279703,0.000400949059468781,0.000403715569168566,1.00830136128955,1.00518663941298,0.03,0.000661118331175993,-0.00571935661225418,-0.00428885026399247,0.955,0.947,0.96,0.00056745453807283,0.000587999296933779,0.000585808753260604,0.275,0.204,0.201,0.000602391371907335,0.000608477927965598,0.000661246046045395,0.000753382403345528,0.000745549529526121,0.000753646136573942,1.00950222786464,1.00637633874451,0.001,0.0105399423355691,0.0116169117856583,0.956,0.907,0.000129556755905994,0.000161636185756663,0.065,0.127,5.60008954638391e-05,5.86372987636964e-05,0.000135959024434561,0.000163432727987615,1.01988846681222,1.01485149119723
"4",0.2,0.000984291907372101,0.00382545433953497,0.00406681787272371,0.953,0.943,0.953,0.000137020185110514,0.000153840037738924,0.000155820043825848,1,1,1,0.000144189363391227,0.000144887087763109,0.000158305179724903,0.000369035963144095,0.000373289809822307,0.000373390488192476,1.00728243486729,1.00452984155506,-0.2,-0.000933586029636861,-0.00419982544019928,-0.00427108435654637,0.961,0.954,0.961,0.000496350296583001,0.000528479098193705,0.000531880839275952,1,1,1,0.000547419533999763,0.000550607607763338,0.000590005865297052,0.000704254704206272,0.000715088747206906,0.000717044510839977,1.00863552304055,1.00563582906266,0.001,0.0107782393943938,0.0116932569862685,0.942,0.906,0.000135213868848033,0.000162027676199322,0.068,0.129,5.72858056058126e-05,5.99757313567541e-05,0.000138066965245361,0.000159124913166968,1.02044944680836,1.01548317988184
"5",0,0.000418910769845996,0.0058267089235159,0.00517078451090159,0.96,0.939,0.949,0.000189803980495117,0.000224344334569547,0.000218066456015881,0.04,0.061,0.051,0.000195949303469986,0.000196590868216169,0.00021466587604418,0.000435681434737124,0.000436559711920648,0.000437631082673778,1.00686315037744,1.00468287023605,0,-0.000822908463046564,-0.00779266183155452,-0.00595383358205215,0.953,0.948,0.955,0.000882502912781112,0.000931131462698262,0.000917838246743635,0.047,0.052,0.045,0.000871611846976748,0.000867541514223369,0.000948254310736942,0.000939525647806085,0.000933422284627239,0.000939826252988641,1.00814588407565,1.00589485803671,0.01,0.00508857138991343,0.00549917030809189,0.982,0.981,5.80844708627115e-05,6.55138494127405e-05,0.149,0.161,8.34817482817837e-05,8.42894387203562e-05,0.000179508036610269,0.000187904985614964,1.01983531471664,1.01613960262765
"6",0.04,0.000762487525836069,0.00557435379238485,0.00495509131076141,0.951,0.925,0.936,0.000181426838245545,0.000211235821456534,0.000208246463368485,0.851,0.923,0.893,0.000180306513256452,0.00018124740331837,0.000198644604751469,0.000425472064295631,0.000424667804286899,0.00042880929430387,1.00679721237883,1.00459919286069,0,0.000373913621645945,-0.00639159261374549,-0.00475805806330039,0.954,0.952,0.957,0.000719350218318829,0.000733758662492192,0.000743372619036743,0.046,0.048,0.043,0.000748895479465578,0.000748574270867916,0.00081142780339846,0.000848487087267471,0.000832826396170453,0.000849385046642843,1.0078847771589,1.00550754554033,0.01,0.00442987674183561,0.00513123732045491,0.977,0.975,5.17971586947389e-05,6.39926832316239e-05,0.162,0.2,7.41109696861171e-05,7.5438067934504e-05,0.000179459065814982,0.000194166906501533,1.01989702866807,1.0147656191084
"7",0.1,0.000888906643193724,0.00482992645367575,0.00435206495097925,0.954,0.944,0.954,0.000152818933116717,0.000176928797965471,0.000174651056774194,1,1,1,0.000158981407555073,0.000159007816576322,0.00017493462729765,0.000390103779852821,0.000392115241708779,0.000394799257712755,1.00751112737983,1.00471562435204,0.03,-2.05395993548715e-05,-0.00628563409652243,-0.00481745338810845,0.95,0.948,0.954,0.000571248286647627,0.000628742316553356,0.00062294631879082,0.248,0.194,0.197,0.000613344705914854,0.000612072922489168,0.000663867376398649,0.000756187598719353,0.000767999312175143,0.000774815333124395,1.00847621116282,1.00567484163083,0.01,0.00331173427126994,0.00408978283780606,0.975,0.971,4.08268730275429e-05,5.13800461607672e-05,0.169,0.215,6.18503410293164e-05,6.38118170532955e-05,0.000172884870137214,0.000186248250760283,1.02108622960218,1.01511454138073
"8",0.2,0.00199437862815823,0.00458835982954056,0.00487664567812338,0.951,0.935,0.947,0.000140260079120888,0.000162746455810817,0.000167769718487726,1,1,1,0.000148205988440799,0.000148614242726711,0.000163710661741849,0.000369349363016094,0.000376610203168484,0.000379647438547084,1.00626852100061,1.00391934063739,-0.2,-0.00263530653083448,-0.00569104277718807,-0.00594770818861762,0.955,0.938,0.945,0.000526860573240842,0.000577038885536848,0.000603222573292874,1,1,1,0.000557131677752897,0.000560301644743144,0.000609893353711518,0.000721412620417942,0.00073837396606247,0.000753933522502002,1.00739882499017,1.00477066011781,0.01,0.00372285852525329,0.00471428931350982,0.986,0.964,3.9449079629011e-05,5.48909953335467e-05,0.17,0.234,6.51579960733117e-05,6.67015342195357e-05,0.000160046927646265,0.000180829120367397,1.02094306463643,1.01712064294076
